judul,sumber,tanggal,skor,saham,link
Pastel Abon dari Surakarta Ini Berkembang Berkat Dukungan LinkUMKM BRI,Detik Finance,"Wed, 25 Mar 2026 16:30:44 +070",0,LINK,https://finance.detik.com/berita-ekonomi-bisnis/d-8415026/pastel-abon-dari-surakarta-ini-berkembang-berkat-dukungan-linkumkm-bri
Buruh Tuntut Kenaikan Upah di Tengah Darurat Energi,Detik Finance,"Wed, 25 Mar 2026 16:30:20 +070",1,,https://finance.detik.com/foto-bisnis/d-8414847/buruh-tuntut-kenaikan-upah-di-tengah-darurat-energi
"Maskapai Siap-siap, Harga Avtur Diprediksi Naik Bulan Depan",Detik Finance,"Wed, 25 Mar 2026 16:29:27 +070",1,,https://finance.detik.com/energi/d-8415108/maskapai-siap-siap-harga-avtur-diprediksi-naik-bulan-depan
Harga BBM di Vietnam Naik Gila-gilaan Imbas Perang Timur Tengah,Detik Finance,"Wed, 25 Mar 2026 16:08:16 +070",0,,https://finance.detik.com/energi/d-8415056/harga-bbm-di-vietnam-naik-gila-gilaan-imbas-perang-timur-tengah
"Pertamina Sediakan 19 Titik Singgah Gratis untuk Pemudik, Ini Fasilitasnya",Detik Finance,"Wed, 25 Mar 2026 15:51:55 +070",0,,https://finance.detik.com/infrastruktur/d-8415262/pertamina-sediakan-19-titik-singgah-gratis-untuk-pemudik-ini-fasilitasnya
"Berkat BRI, Yummy Craft Bawa Desain Kuliner Nusantara Tembus Pasar Global",Detik Finance,"Wed, 25 Mar 2026 15:50:56 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415017/berkat-bri-yummy-craft-bawa-desain-kuliner-nusantara-tembus-pasar-global
WFH 1 Hari dalam Seminggu Masih Tunggu Lampu Hijau dari Prabowo,Detik Finance,"Wed, 25 Mar 2026 15:49:20 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415016/wfh-1-hari-dalam-seminggu-masih-tunggu-lampu-hijau-dari-prabowo
"DPR Soroti Beban APBN Bertambah Rp 6,7 T Setiap Harga Minyak Naik US$ 1",Detik Finance,"Wed, 25 Mar 2026 15:40:45 +070",1,,https://finance.detik.com/energi/d-8414987/dpr-soroti-beban-apbn-bertambah-rp-6-7-t-setiap-harga-minyak-naik-us-1
"Beredar Isu Kopdes Merah Putih Picu Bentrok di NTT, Kemenkop Bantah",Detik Finance,"Wed, 25 Mar 2026 15:36:46 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8414979/beredar-isu-kopdes-merah-putih-picu-bentrok-di-ntt-kemenkop-bantah
Sah! Friderica Widyasari Dilantik Jadi Ketua OJK,Detik Finance,"Wed, 25 Mar 2026 15:28:04 +070",0,,https://finance.detik.com/moneter/d-8414965/sah-friderica-widyasari-dilantik-jadi-ketua-ojk
"Purbaya Sebut MBG Mau Dikurangi Sehari, Negara Hemat Rp 40 T",Detik Finance,"Wed, 25 Mar 2026 15:11:01 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8414933/purbaya-sebut-mbg-mau-dikurangi-sehari-negara-hemat-rp-40-t
Butuh Rp 130 T Bangun Ulang Wilayah Sumatera yang Kena Bencana,Detik Finance,"Wed, 25 Mar 2026 14:36:12 +070",-1,,https://finance.detik.com/infrastruktur/d-8414859/butuh-rp-130-t-bangun-ulang-wilayah-sumatera-yang-kena-bencana
Terminal Kampung Rambutan Bakal Ditata Ulang untuk Atasi Banjir,Detik Finance,"Wed, 25 Mar 2026 14:30:07 +070",-1,,https://finance.detik.com/foto-bisnis/d-8414664/terminal-kampung-rambutan-bakal-ditata-ulang-untuk-atasi-banjir
Purbaya Mau Deadline Lapor SPT Pribadi Diperpanjang Sampai April,Detik Finance,"Wed, 25 Mar 2026 14:15:24 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8414830/purbaya-mau-deadline-lapor-spt-pribadi-diperpanjang-sampai-april
"Australia Terancam Krisis BBM, Ratusan SPBU Kehabisan Stok",Detik Finance,"Wed, 25 Mar 2026 14:10:27 +070",-1,,https://finance.detik.com/energi/d-8414821/australia-terancam-krisis-bbm-ratusan-spbu-kehabisan-stok
Mendagri Ungkap Biang Kerok Antrean BBM di Kalimantan Barat,Detik Finance,"Wed, 25 Mar 2026 14:06:37 +070",0,,https://finance.detik.com/energi/d-8414798/mendagri-ungkap-biang-kerok-antrean-bbm-di-kalimantan-barat
"Filipina &amp; Bangladesh Krisis BBM, Purbaya: Kita Mesti Siap-siap!",Detik Finance,"Wed, 25 Mar 2026 14:00:27 +070",-1,,https://finance.detik.com/energi/d-8414794/filipina-bangladesh-krisis-bbm-purbaya-kita-mesti-siap-siap
"Pemerintah Yakin Ekonomi RI Tumbuh 5,5%, Ekonom Ramal Lebih Rendah",Detik Finance,"Wed, 25 Mar 2026 13:51:16 +070",1,,https://finance.detik.com/berita-ekonomi-bisnis/d-8414774/pemerintah-yakin-ekonomi-ri-tumbuh-5-5-ekonom-ramal-lebih-rendah
Begini Pergerakan Saham BBCA Jelang Pembagian Dividen,Detik Finance,"Wed, 25 Mar 2026 13:31:51 +070",1,BBCA,https://finance.detik.com/bursa-dan-valas/d-8414731/begini-pergerakan-saham-bbca-jelang-pembagian-dividen
Pemprov DKI Atur Kerja Fleksibel ASN Selama Arus Balik Lebaran,Detik Finance,"Wed, 25 Mar 2026 13:29:31 +070",0,,https://finance.detik.com/foto-bisnis/d-8414721/pemprov-dki-atur-kerja-fleksibel-asn-selama-arus-balik-lebaran
MDKA Perkuat Peran Perempuan dalam Transformasi Industri Tambang,Detik Finance,"Wed, 25 Mar 2026 12:51:27 +070",0,MDKA,https://finance.detik.com/energi/d-8414626/mdka-perkuat-peran-perempuan-dalam-transformasi-industri-tambang
