ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hasil_rp,exit_reason,menang,hold_hari
GEMA,2025-10-28,2025-10-29,93.0,91.0,-2.5,-310739.0,SL,False,1
FOOD,2025-10-29,2025-10-30,374.0,367.0,-2.5,-309444.0,SL,False,1
GEMA,2025-10-29,2025-10-30,90.0,88.0,-2.5,-309444.0,SL,False,1
DSSA,2025-10-29,2025-10-30,3256.0,3191.0,-2.5,-309444.0,SL,False,1
MOLI,2025-10-29,2025-10-30,274.0,282.0,2.5,309444.0,TP,True,1
OKAS,2025-10-30,2025-10-31,142.0,146.0,2.5,306866.0,TP,True,1
MGNA,2025-10-30,2025-10-31,72.0,71.0,-2.5,-306866.0,SL,False,1
DSSA,2025-10-30,2025-10-31,3456.0,3387.0,-2.5,-306866.0,SL,False,1
RICY,2025-10-30,2025-10-31,63.0,65.0,2.5,306866.0,TP,True,1
KOIN,2025-10-29,2025-11-03,70.0,69.0,-1.93,-238714.0,H+3,False,3
BRPT,2025-10-31,2025-11-03,3450.0,3554.0,2.5,306866.0,TP,True,1
BULL,2025-10-31,2025-11-03,218.0,214.0,-2.5,-306866.0,SL,False,1
MDLN,2025-10-31,2025-11-03,59.0,58.0,-2.5,-306866.0,SL,False,1
DSSA,2025-10-31,2025-11-03,3383.0,3484.0,2.5,306866.0,TP,True,1
UANG,2025-11-03,2025-11-04,2030.0,1989.0,-2.5,-305871.0,SL,False,1
TINS,2025-11-03,2025-11-04,2500.0,2450.0,-2.5,-305871.0,SL,False,1
IDPR,2025-11-03,2025-11-04,314.0,308.0,-2.5,-305871.0,SL,False,1
RICY,2025-11-03,2025-11-04,57.0,59.0,2.5,305871.0,TP,True,1
MDLN,2025-11-03,2025-11-05,57.0,56.0,-2.5,-305871.0,SL,False,2
IDPR,2025-11-04,2025-11-05,302.0,311.0,2.5,303322.0,TP,True,1
UANG,2025-11-04,2025-11-05,1910.0,1872.0,-2.5,-303322.0,SL,False,1
RCCC,2025-11-04,2025-11-05,199.0,195.0,-2.5,-303322.0,SL,False,1
SOSS,2025-11-04,2025-11-05,930.0,911.0,-2.5,-303322.0,SL,False,1
UANG,2025-11-05,2025-11-06,1955.0,1916.0,-2.5,-299520.0,SL,False,1
IDPR,2025-11-05,2025-11-06,302.0,311.0,2.5,299520.0,TP,True,1
HERO,2025-11-05,2025-11-06,520.0,536.0,2.5,299520.0,TP,True,1
PDES,2025-11-05,2025-11-06,590.0,608.0,2.5,299520.0,TP,True,1
PGLI,2025-11-05,2025-11-06,540.0,529.0,-2.5,-299520.0,SL,False,1
MORA,2025-11-06,2025-11-07,2160.0,2225.0,2.5,300768.0,TP,True,1
IDPR,2025-11-06,2025-11-07,304.0,313.0,2.5,300768.0,TP,True,1
IPOL,2025-11-06,2025-11-07,131.0,135.0,2.5,300768.0,TP,True,1
ULTJ,2025-11-06,2025-11-10,1480.0,1524.0,2.5,300768.0,TP,True,2
MORA,2025-11-07,2025-11-10,2370.0,2441.0,2.5,304527.0,TP,True,1
KOIN,2025-11-07,2025-11-10,68.0,70.0,2.5,304527.0,TP,True,1
MGNA,2025-11-07,2025-11-10,93.0,91.0,-2.5,-304527.0,SL,False,1
MYOR,2025-11-06,2025-11-11,2030.0,2050.0,0.49,58376.0,H+3,True,3
MORA,2025-11-10,2025-11-11,2600.0,2678.0,2.5,307050.0,TP,True,1
RCCC,2025-11-10,2025-11-11,183.0,179.0,-2.5,-307050.0,SL,False,1
KICI,2025-11-10,2025-11-11,254.0,249.0,-2.5,-307050.0,SL,False,1
RICY,2025-11-10,2025-11-12,56.0,58.0,2.5,307050.0,TP,True,2
MORA,2025-11-11,2025-11-12,3250.0,3348.0,2.5,306013.0,TP,True,1
UANG,2025-11-11,2025-11-12,3380.0,3481.0,2.5,306013.0,TP,True,1
PGLI,2025-11-11,2025-11-12,400.0,392.0,-2.5,-306013.0,SL,False,1
RCCC,2025-11-11,2025-11-13,182.0,178.0,-2.5,-306013.0,SL,False,2
MORA,2025-11-12,2025-11-13,4060.0,4182.0,2.5,308568.0,TP,True,1
UANG,2025-11-12,2025-11-13,4220.0,4136.0,-2.5,-308568.0,SL,False,1
MIKA,2025-11-12,2025-11-13,2520.0,2596.0,2.5,308568.0,TP,True,1
MORA,2025-11-13,2025-11-14,5075.0,5227.0,2.5,308578.0,TP,True,1
SRAJ,2025-11-13,2025-11-14,13250.0,13648.0,2.5,308578.0,TP,True,1
ANJT,2025-11-13,2025-11-14,1990.0,1950.0,-2.5,-308578.0,SL,False,1
HEAL,2025-11-12,2025-11-17,1415.0,1430.0,0.56,69128.0,H+3,True,3
SILO,2025-11-13,2025-11-17,2450.0,2524.0,2.5,308578.0,TP,True,2
PGLI,2025-11-14,2025-11-17,392.0,384.0,-2.5,-309864.0,SL,False,1
RICY,2025-11-14,2025-11-17,57.0,59.0,2.5,309864.0,TP,True,1
PBSA,2025-11-14,2025-11-17,1280.0,1318.0,2.5,309864.0,TP,True,1
PBSA,2025-11-17,2025-11-18,1600.0,1568.0,-2.5,-312729.0,SL,False,1
PGLI,2025-11-17,2025-11-18,390.0,382.0,-2.5,-312729.0,SL,False,1
TIRA,2025-11-17,2025-11-18,1400.0,1372.0,-2.5,-312729.0,SL,False,1
IPOL,2025-11-17,2025-11-18,123.0,127.0,2.5,312729.0,TP,True,1
TNCA,2025-11-17,2025-11-18,226.0,221.0,-2.5,-312729.0,SL,False,1
SOHO,2025-11-18,2025-11-19,1495.0,1465.0,-2.5,-308820.0,SL,False,1
TCPI,2025-11-18,2025-11-19,7425.0,7276.0,-2.5,-308820.0,SL,False,1
PGLI,2025-11-18,2025-11-19,372.0,383.0,2.5,308820.0,TP,True,1
YELO,2025-11-18,2025-11-19,81.0,83.0,2.5,308820.0,TP,True,1
TINS,2025-11-18,2025-11-19,3050.0,3142.0,2.5,308820.0,TP,True,1
SOHO,2025-11-19,2025-11-20,1405.0,1447.0,2.5,310107.0,TP,True,1
TIFA,2025-11-19,2025-11-20,515.0,530.0,2.5,310107.0,TP,True,1
YELO,2025-11-19,2025-11-20,89.0,87.0,-2.5,-310107.0,SL,False,1
MGNA,2025-11-19,2025-11-20,79.0,81.0,2.5,310107.0,TP,True,1
PGLI,2025-11-19,2025-11-20,372.0,365.0,-2.5,-310107.0,SL,False,1
SOHO,2025-11-20,2025-11-21,1545.0,1591.0,2.5,311399.0,TP,True,1
VKTR,2025-11-20,2025-11-21,470.0,461.0,-2.5,-311399.0,SL,False,1
SOSS,2025-11-20,2025-11-21,860.0,886.0,2.5,311399.0,TP,True,1
TCPI,2025-11-20,2025-11-21,7550.0,7399.0,-2.5,-311399.0,SL,False,1
SRAJ,2025-11-20,2025-11-21,14300.0,14014.0,-2.5,-311399.0,SL,False,1
VKTR,2025-11-21,2025-11-24,478.0,492.0,2.5,310101.0,TP,True,1
SOHO,2025-11-21,2025-11-24,1695.0,1746.0,2.5,310101.0,TP,True,1
BULL,2025-11-21,2025-11-24,294.0,288.0,-2.5,-310101.0,SL,False,1
SAME,2025-11-21,2025-11-24,404.0,416.0,2.5,310101.0,TP,True,1
PGLI,2025-11-21,2025-11-24,350.0,343.0,-2.5,-310101.0,SL,False,1
PPGL,2025-11-24,2025-11-25,167.0,164.0,-2.5,-311393.0,SL,False,1
FOOD,2025-11-24,2025-11-25,326.0,319.0,-2.5,-311393.0,SL,False,1
NIRO,2025-11-24,2025-11-25,292.0,301.0,2.5,311393.0,TP,True,1
PKPK,2025-11-24,2025-11-25,850.0,876.0,2.5,311393.0,TP,True,1
TRIM,2025-11-24,2025-11-25,675.0,662.0,-2.5,-311393.0,SL,False,1
MLPT,2025-11-25,2025-11-26,72300.0,74469.0,2.5,310096.0,TP,True,1
DNAR,2025-11-25,2025-11-26,184.0,190.0,2.5,310096.0,TP,True,1
YELO,2025-11-25,2025-11-26,99.0,102.0,2.5,310096.0,TP,True,1
TCPI,2025-11-25,2025-11-27,7350.0,7570.0,2.5,310096.0,TP,True,2
YELO,2025-11-26,2025-11-27,108.0,106.0,-2.5,-313972.0,SL,False,1
WIIM,2025-11-26,2025-11-27,1790.0,1754.0,-2.5,-313972.0,SL,False,1
CMPP,2025-11-26,2025-11-27,85.0,88.0,2.5,313972.0,TP,True,1
MGNA,2025-11-25,2025-11-28,108.0,108.0,-0.5,-62019.0,H+3,False,3
SMMT,2025-11-27,2025-11-28,1435.0,1406.0,-2.5,-313956.0,SL,False,1
UANG,2025-11-27,2025-11-28,5475.0,5366.0,-2.5,-313956.0,SL,False,1
SOSS,2025-11-27,2025-11-28,850.0,876.0,2.5,313956.0,TP,True,1
FOOD,2025-11-27,2025-12-01,290.0,299.0,2.5,313956.0,TP,True,2
PTSP,2025-11-28,2025-12-01,1040.0,1019.0,-2.5,-312389.0,SL,False,1
WIIM,2025-11-28,2025-12-01,1880.0,1842.0,-2.5,-312389.0,SL,False,1
YELO,2025-11-28,2025-12-01,117.0,115.0,-2.5,-312389.0,SL,False,1
MORA,2025-12-01,2025-12-02,6675.0,6875.0,2.5,309793.0,TP,True,1
MCAS,2025-12-01,2025-12-02,655.0,642.0,-2.5,-309793.0,SL,False,1
MPXL,2025-12-01,2025-12-02,220.0,227.0,2.5,309793.0,TP,True,1
TRST,2025-12-01,2025-12-02,442.0,433.0,-2.5,-309793.0,SL,False,1
OMRE,2025-11-28,2025-12-03,434.0,447.0,2.5,312389.0,TP,True,3
MORA,2025-12-02,2025-12-03,7325.0,7545.0,2.5,309793.0,TP,True,1
SOHO,2025-12-02,2025-12-03,1335.0,1308.0,-2.5,-309793.0,SL,False,1
SMDM,2025-12-02,2025-12-03,820.0,845.0,2.5,309793.0,TP,True,1
YELO,2025-12-02,2025-12-04,128.0,125.0,-2.5,-309793.0,SL,False,2
MORA,2025-12-03,2025-12-04,8050.0,8292.0,2.5,312385.0,TP,True,1
IPOL,2025-12-03,2025-12-04,103.0,106.0,2.5,312385.0,TP,True,1
RICY,2025-12-03,2025-12-04,80.0,82.0,2.5,312385.0,TP,True,1
MORA,2025-12-04,2025-12-05,8850.0,9116.0,2.5,314999.0,TP,True,1
HDFA,2025-12-04,2025-12-05,145.0,142.0,-2.5,-314999.0,SL,False,1
MGNA,2025-12-04,2025-12-05,118.0,122.0,2.5,314999.0,TP,True,1
SMDM,2025-12-03,2025-12-08,845.0,870.0,2.5,312385.0,TP,True,3
RICY,2025-12-04,2025-12-08,85.0,88.0,2.5,314999.0,TP,True,2
MORA,2025-12-05,2025-12-08,9725.0,10017.0,2.5,316312.0,TP,True,1
MGNA,2025-12-05,2025-12-08,129.0,133.0,2.5,316312.0,TP,True,1
PPGL,2025-12-05,2025-12-08,121.0,119.0,-2.5,-316312.0,SL,False,1
MORA,2025-12-08,2025-12-09,10675.0,10995.0,2.5,320244.0,TP,True,1
MGNA,2025-12-08,2025-12-09,141.0,145.0,2.5,320244.0,TP,True,1
CARE,2025-12-08,2025-12-09,510.0,525.0,2.5,320244.0,TP,True,1
KIOS,2025-12-08,2025-12-09,132.0,136.0,2.5,320244.0,TP,True,1
SOSS,2025-12-08,2025-12-10,800.0,784.0,-2.5,-320244.0,SL,False,2
MORA,2025-12-09,2025-12-10,11725.0,12077.0,2.5,325581.0,TP,True,1
MGNA,2025-12-09,2025-12-10,155.0,160.0,2.5,325581.0,TP,True,1
FOOD,2025-12-09,2025-12-10,478.0,468.0,-2.5,-325581.0,SL,False,1
SIPD,2025-12-09,2025-12-10,895.0,877.0,-2.5,-325581.0,SL,False,1
MGNA,2025-12-10,2025-12-11,170.0,167.0,-2.5,-324247.0,SL,False,1
PTIS,2025-12-10,2025-12-11,354.0,365.0,2.5,324247.0,TP,True,1
UNSP,2025-12-10,2025-12-11,270.0,278.0,2.5,324247.0,TP,True,1
KIOS,2025-12-10,2025-12-12,214.0,220.0,2.5,324247.0,TP,True,2
